cycle,first(SEIR_maths).S,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).IR,first(SEIR_maths).RR,first(SEIR_maths).RR
0,100,200,0,0,2,40,0,0,0,0,1,20,0,0
1,100.4961452,200.9922903,0.307656086,6.153121725,0.372979207,7.459584135,1.042968153,20.85936307,0.443444576,8.868891525,0.440182417,8.803648345,0.80200915,16.040183
2,101.3666493,202.7332985,0.18479943,3.695988607,0.094778195,1.895563897,1.361996914,27.23993827,0.285512496,5.710249916,0.226132244,4.522644876,1.326103307,26.52206614
3,102.3176866,204.6353731,0.095029775,1.900595504,0.047600318,0.952006361,1.450915552,29.01831104,0.157942199,3.158843974,0.121793352,2.43586704,1.59817212,31.9634424
4,103.2844493,206.5688986,0.052854695,1.057093909,0.039344085,0.786881698,1.460078915,29.20157831,0.090362513,1.807250258,0.068148727,1.362974544,1.728813409,34.57626818
5,104.2475483,208.4950966,0.035074237,0.701484745,0.037405151,0.748103024,1.440654952,28.81309903,0.057071189,1.141423787,0.04068512,0.813702393,1.787470219,35.74940438
6,105.1993582,210.3987164,0.02773522,0.55470441,0.036408296,0.728165913,1.411144384,28.22288768,0.040697335,0.813946705,0.026763956,0.53527912,1.810352914,36.20705828
7,106.1364905,212.272981,0.02459712,0.49194241,0.035529028,0.710580561,1.378429924,27.56859849,0.032466042,0.649320847,0.019729332,0.394586636,1.815484752,36.30969504
8,107.0574505,214.114901,0.023109407,0.462188136,0.034665346,0.693306921,1.345095953,26.90191906,0.028171247,0.563424939,0.016149042,0.322980847,1.811740262,36.23480523
9,107.9616631,215.9233262,0.022265804,0.44531608,0.033814843,0.676296853,1.31210689,26.2421378,0.025799297,0.515985937,0.014287795,0.285755894,1.803489101,36.06978203
10,108.8490085,217.6980171,0.021675237,0.433504742,0.03298254,0.659650796,1.279811944,25.59623887,0.024376732,0.487534647,0.013279078,0.265581563,1.792890696,35.85781391
11,109.7195915,219.439183,0.021186717,0.423734349,0.032170998,0.643419963,1.248326321,24.96652643,0.023428399,0.468567978,0.012693073,0.253861453,1.781018559,35.62037119
12,110.5736256,221.1472512,0.020742102,0.414842045,0.031380935,0.627618693,1.217676553,24.35353106,0.02272066,0.454413203,0.012317207,0.24634415,1.768411321,35.36822642
13,111.4113756,222.8227513,0.020319004,0.406380073,0.030612221,0.612244422,1.187855967,23.75711934,0.022138006,0.442760121,0.012046443,0.240928857,1.755343394,35.10686787
14,112.2331288,224.4662576,0.019908775,0.398175495,0.029864396,0.597287922,1.158845851,23.17691703,0.021623063,0.432461265,0.011828855,0.236577091,1.74195827,34.83916541
15,113.0391804,226.0783608,0.019508043,0.39016086,0.029136883,0.582737654,1.13062351,22.61247019,0.021147192,0.422943834,0.011638746,0.232774918,1.72833431,34.5666862
16,113.8298268,227.6596535,0.019115458,0.382309166,0.028429074,0.568581481,1.103165304,22.06330608,0.020695994,0.413919889,0.011463378,0.229267554,1.714517275,34.2903455
17,114.6053619,229.2107238,0.018730445,0.374608903,0.027740366,0.554807326,1.076447789,21.52895577,0.020262152,0.405243043,0.011296419,0.225928375,1.700536454,34.01072907
18,115.3660756,230.7321513,0.018352724,0.367054475,0.02707017,0.541403408,1.05044812,21.0089624,0.01984187,0.396837409,0.011134711,0.222694216,1.686412668,33.72825336
19,116.112253,232.2245061,0.017982127,0.359642538,0.026417916,0.528358318,1.025144186,20.50288373,0.019433115,0.388662305,0.010976669,0.21953337,1.67216226,33.44324519
20,116.8441739,233.6883479,0.01761853,0.352370593,0.025783052,0.515661039,1.000514638,20.01029276,0.019034735,0.380694701,0.010821488,0.216429756,1.657799082,33.15598164
21,117.5621129,235.1242257,0.017261823,0.345236452,0.025165047,0.503300943,0.976538877,19.53077753,0.018646024,0.372920474,0.010668753,0.213375061,1.643335504,32.86671008
22,118.2663391,236.5326782,0.016911902,0.338238039,0.024563389,0.491267775,0.953197034,19.06394067,0.018266502,0.36533004,0.010518242,0.210364847,1.628782916,32.57565831
23,118.9571167,237.9142334,0.016568666,0.331373311,0.023977582,0.479551647,0.930469942,18.60939884,0.017895809,0.357916174,0.010369831,0.207396612,1.614151994,32.28303988
24,119.6347045,239.269409,0.016232012,0.324640235,0.023407151,0.468143015,0.90833911,18.1667822,0.017533646,0.350672916,0.010223441,0.204468826,1.599452842,31.98905684
25,120.2993564,240.5987127,0.015901839,0.318036777,0.022851634,0.457032673,0.886786692,17.73573385,0.017179751,0.34359502,0.010079023,0.201580451,1.584695067,31.69390134
26,120.9513211,241.9026422,0.015578045,0.311560905,0.022310587,0.446211733,0.865795465,17.3159093,0.016833884,0.336677678,0.009936535,0.198730701,1.569887828,31.39775656
27,121.5908428,243.1816855,0.015260529,0.305210585,0.021783581,0.435671617,0.845348802,16.90697603,0.016495819,0.329916372,0.009795946,0.195918923,1.555039868,31.10079736
28,122.2181606,244.4363211,0.014949189,0.298983787,0.021270202,0.425404041,0.825430646,16.50861293,0.01616534,0.323306805,0.009657227,0.193144536,1.540159537,30.80319075
29,122.833509,245.6670181,0.014643924,0.292878488,0.02077005,0.415401006,0.806025494,16.12050989,0.015842243,0.316844855,0.00952035,0.190407,1.52525481,30.5050962
30,123.4371182,246.8742364,0.014344634,0.28689267,0.020282739,0.405654783,0.787118368,15.74236736,0.015526328,0.310526557,0.00938529,0.187705801,1.510333304,30.20666608
31,124.0292135,248.058427,0.014051216,0.281024326,0.019807895,0.396157908,0.768694797,15.37389593,0.015217404,0.304348085,0.009252022,0.185040445,1.495402292,29.90804584
32,124.610016,249.2200321,0.013763573,0.27527146,0.019345158,0.386903166,0.750740797,15.01481595,0.014915287,0.298305746,0.009120523,0.18241045,1.480468718,29.60937436
33,125.1797426,250.3594853,0.013481604,0.269632089,0.018894179,0.377883586,0.733242855,14.6648571,0.014619798,0.292395968,0.008990767,0.179815346,1.46553921,29.31078419
34,125.7386059,251.4772118,0.013205212,0.264104244,0.018454621,0.369092426,0.716187904,14.32375809,0.014330765,0.286615299,0.008862734,0.177254674,1.450620089,29.01240178
35,126.2868142,252.5736283,0.012934299,0.258685974,0.018026159,0.360523171,0.699563313,13.99126627,0.01404802,0.280960397,0.008736399,0.174727983,1.435717387,28.71434774
36,126.8245719,253.6491438,0.012668767,0.253375344,0.017608476,0.352169519,0.683356866,13.66713731,0.013771401,0.27542803,0.008611742,0.172234831,1.420836852,28.41673704
37,127.3520795,254.7041591,0.012408522,0.248170436,0.017201269,0.344025374,0.667556745,13.35113491,0.013500753,0.270015068,0.008488739,0.169774787,1.405983962,28.11967924
38,127.8695335,255.7390671,0.012153468,0.243069355,0.016804242,0.33608484,0.652151522,13.04303043,0.013235924,0.264718481,0.008367371,0.167347424,1.391163936,27.82327872
39,128.3771266,256.7542533,0.011903511,0.238070224,0.016417111,0.328342212,0.637130134,12.74260269,0.012976767,0.259535335,0.008247616,0.164952324,1.376381742,27.52763484
40,128.8750478,257.7500957,0.011658559,0.233171187,0.016039598,0.320791968,0.62248188,12.44963759,0.012723139,0.254462785,0.008129454,0.162589077,1.361642108,27.23284216
41,129.3634824,258.7269648,0.011418521,0.22837041,0.015671438,0.313428764,0.608196398,12.16392795,0.012474904,0.249498077,0.008012864,0.16025728,1.34694953,26.93899061
42,129.8426121,259.6852242,0.011183304,0.223666083,0.015312371,0.306247428,0.594263658,11.88527317,0.012231927,0.244638542,0.007897827,0.157956534,1.332308283,26.64616567
43,130.3126151,260.6252303,0.010952821,0.219056418,0.014962148,0.29924295,0.580673951,11.61347902,0.011994079,0.23988159,0.007784323,0.15568645,1.317722427,26.35444855
44,130.7736662,261.5473325,0.010726982,0.21453965,0.014620524,0.29241048,0.567417871,11.34835743,0.011761236,0.235224711,0.007672332,0.153446643,1.303195818,26.06391635
45,131.2259368,262.4518735,0.010505702,0.210114038,0.014287266,0.285745319,0.55448631,11.08972621,0.011533274,0.230665472,0.007561837,0.151236735,1.288732111,25.77464222
46,131.6695948,263.3391896,0.010288893,0.205777865,0.013962146,0.279242916,0.541870444,10.83740888,0.011310076,0.226201511,0.007452818,0.149056352,1.274334775,25.4866955
47,132.1048052,264.2096103,0.010076472,0.20152944,0.013644943,0.272898862,0.529561722,10.59123445,0.011091527,0.221830536,0.007345256,0.146905128,1.260007093,25.20014187
48,132.5317294,265.0634589,0.009868355,0.197367094,0.013335444,0.266708884,0.517551862,10.35103723,0.010877516,0.217550324,0.007239135,0.1447827,1.245752175,24.9150435
49,132.9505262,265.9010524,0.009664459,0.193289186,0.013033442,0.260668841,0.505832831,10.11665663,0.010667936,0.213358715,0.007134436,0.142688712,1.231572959,24.63145919
50,133.3613508,266.7227016,0.009464705,0.189294096,0.012738736,0.254774718,0.494396849,9.887936974,0.010462681,0.209253615,0.007031141,0.140622812,1.217472224,24.34944447
51,133.7643558,267.5287116,0.009269012,0.185380232,0.012451131,0.249022624,0.483236367,9.664727346,0.010261649,0.205232988,0.006929233,0.138584654,1.203452588,24.06905176
52,134.1596906,268.3193812,0.009077301,0.181546026,0.012170439,0.243408786,0.47234407,9.446881405,0.010064743,0.201294855,0.006828695,0.136573895,1.189516524,23.79033048
53,134.5475019,269.0950038,0.008889497,0.177789935,0.011896477,0.237929543,0.461712862,9.234257235,0.009871865,0.197437298,0.00672951,0.134590197,1.175666357,23.51332715
54,134.9279334,269.8558669,0.008705522,0.174110441,0.011629067,0.232581347,0.451335859,9.026717183,0.009682922,0.193658448,0.006631661,0.132633229,1.161904275,23.23808551
55,135.3011263,270.6022526,0.008525303,0.17050605,0.011368038,0.227360754,0.441206386,8.82412772,0.009497825,0.189956493,0.006535133,0.13070266,1.148232332,22.96464665
56,135.6672187,271.3344374,0.008348765,0.166975294,0.011113221,0.222264424,0.431317965,8.626359292,0.009316483,0.186329667,0.006439908,0.128798167,1.134652454,22.69304908
57,136.0263464,272.0526928,0.008175837,0.16351673,0.010864456,0.217289115,0.421664309,8.433286184,0.009138813,0.182776257,0.006345971,0.126919429,1.121166443,22.42332886
58,136.3786424,272.7572847,0.008006447,0.160128938,0.010621584,0.212431683,0.41223932,8.244786394,0.00896473,0.179294595,0.006253306,0.12506613,1.107775983,22.15551965
59,136.7242371,273.4484741,0.007840526,0.156810522,0.010384454,0.207689073,0.403037075,8.060741504,0.008794153,0.175883059,0.006161898,0.123237957,1.094482644,21.88965288
60,137.0632585,274.126517,0.007678006,0.153560113,0.010152916,0.203058322,0.394051828,7.881036555,0.008627003,0.17254007,0.00607173,0.121434602,1.081287888,21.62575776
61,137.3958321,274.7916643,0.007518818,0.150376363,0.009926828,0.198536551,0.385277997,7.70555994,0.008463205,0.169264093,0.005982788,0.119655759,1.06819307,21.36386139
62,137.7220811,275.4441622,0.007362897,0.14725795,0.009706048,0.194120968,0.376710164,7.534203281,0.008302682,0.166053633,0.005895056,0.117901128,1.055199444,21.10398889
63,138.0421261,276.0842522,0.007210179,0.144203573,0.009490443,0.189808858,0.368343067,7.366861332,0.008145362,0.162907236,0.005808521,0.116170411,1.04230817,20.84616341
64,138.3560855,276.7121711,0.007060598,0.141211956,0.009279879,0.185597586,0.360171593,7.203431866,0.007991174,0.159823486,0.005723166,0.114463314,1.029520312,20.59040624
65,138.6640755,277.3281511,0.006914092,0.138281847,0.00907423,0.181484592,0.352190779,7.043815584,0.00784005,0.156801003,0.005638977,0.112779545,1.016836845,20.3367369
66,138.96621,277.93242,0.006770601,0.135412014,0.008873369,0.177467388,0.344395801,6.88791601,0.007691922,0.153838444,0.005555941,0.111118818,1.004258659,20.08517318
67,139.2626007,278.5252014,0.006630062,0.13260125,0.008677178,0.173543558,0.33678197,6.735639409,0.007546725,0.1509345,0.005474042,0.109480848,0.991786561,19.83573122
68,139.5533571,279.1067142,0.006492418,0.129848368,0.008485538,0.169710753,0.329344734,6.586894689,0.007404395,0.148087898,0.005393268,0.107865354,0.979421279,19.58842558
69,139.8385867,279.6771734,0.00635761,0.127152206,0.008298335,0.165966692,0.322079666,6.441593321,0.00726487,0.145297395,0.005313603,0.10627206,0.967163466,19.34326932
70,140.118395,280.2367899,0.006225581,0.12451162,0.008115458,0.162309156,0.314982463,6.299649253,0.007128089,0.142561781,0.005235034,0.104700689,0.955013701,19.10027402
71,140.3928852,280.7857704,0.006096275,0.12192549,0.007936799,0.158735988,0.308048942,6.160978837,0.006993994,0.139879875,0.005157549,0.103150971,0.942972493,18.85944986
72,140.6621589,281.3243177,0.005969636,0.119392717,0.007762255,0.155245092,0.301275037,6.025500742,0.006862526,0.137250528,0.005081132,0.101622638,0.931040286,18.62080572
73,140.9263154,281.8526307,0.005845611,0.116912221,0.007591721,0.15183443,0.294656795,5.893135893,0.006733631,0.134672618,0.005005771,0.100115423,0.919217457,18.38434914
74,141.1854523,282.3709046,0.005724147,0.114482943,0.007425101,0.148502018,0.288190369,5.763807388,0.006607253,0.132145052,0.004931453,0.098629065,0.907504324,18.15008647
75,141.4396653,282.8793305,0.005605192,0.112103847,0.007262296,0.145245929,0.281872022,5.637440439,0.006483338,0.129666762,0.004858165,0.097163303,0.895901144,17.91802287
76,141.6890482,283.3780964,0.005488696,0.109773912,0.007103214,0.142064288,0.275698115,5.5139623,0.006361835,0.127236709,0.004785894,0.095717881,0.884408118,17.68816236
77,141.9336931,283.8673861,0.005374607,0.10749214,0.006947764,0.138955271,0.26966511,5.393302207,0.006242694,0.124853877,0.004714627,0.094292545,0.873025394,17.46050789
78,142.1736902,284.3473804,0.005262878,0.105257552,0.006795855,0.135917102,0.263769566,5.275391314,0.006125864,0.122517277,0.004644352,0.092887043,0.861753067,17.23506135
79,142.4091282,284.8182563,0.005153459,0.103069186,0.006647403,0.132948056,0.258008132,5.160162637,0.006011297,0.12022594,0.004575056,0.091501127,0.850591183,17.01182366
80,142.6400938,285.2801876,0.005046305,0.100926102,0.006502323,0.130046452,0.25237755,5.047550993,0.005898946,0.117978926,0.004506728,0.090134552,0.83953974,16.79079479
81,142.8666723,285.7333446,0.004941369,0.098827374,0.006360533,0.127210655,0.246874647,4.937492948,0.005788766,0.115775311,0.004439354,0.088787074,0.828598689,16.57197379
82,143.0889472,286.1778944,0.004838605,0.096772097,0.006221954,0.124439073,0.241496338,4.829926763,0.00568071,0.113614199,0.004372923,0.087458453,0.817767942,16.35535884
83,143.3070006,286.6140011,0.004737969,0.094759384,0.006086508,0.121730158,0.236239617,4.724792342,0.005574735,0.11149471,0.004307423,0.086148451,0.807047365,16.14094729
84,143.5209127,287.0418254,0.004639418,0.092788364,0.00595412,0.119082402,0.231101559,4.622031184,0.005470799,0.109415988,0.004242842,0.084856832,0.796436786,15.92873572
85,143.7307625,287.4615249,0.004542909,0.090858183,0.005824717,0.116494335,0.226079317,4.521586332,0.00536886,0.107377196,0.004179168,0.083583365,0.785935995,15.7187199
86,143.9366273,287.8732545,0.0044484,0.088968005,0.005698227,0.11396453,0.221170117,4.423402331,0.005268876,0.105377516,0.004116391,0.082327818,0.775544747,15.51089494
87,144.1385829,288.2771659,0.004355851,0.08711701,0.00557458,0.111491594,0.216371259,4.327425181,0.005170807,0.103416149,0.004054498,0.081089965,0.76526276,15.3052552
88,144.3367039,288.6734079,0.00426522,0.085304395,0.005453709,0.109074172,0.211680115,4.233602294,0.005074616,0.101492317,0.003993479,0.079869579,0.755089721,15.10179442
89,144.5310632,289.0621264,0.004176469,0.08352937,0.005335547,0.106710943,0.207094123,4.141882453,0.004980263,0.099605255,0.003933322,0.078666439,0.745025285,14.90050569
90,144.7217324,289.4434648,0.004089558,0.081791165,0.005220031,0.104400622,0.202610789,4.052215771,0.004887711,0.09775422,0.003874016,0.077480323,0.735069076,14.70138152
91,144.9087818,289.8175635,0.004004451,0.080089023,0.005107098,0.102141957,0.198227683,3.964553653,0.004796924,0.095938482,0.003815551,0.076311014,0.725220692,14.50441383
92,145.0922801,290.1845602,0.00392111,0.078422201,0.004996686,0.099933726,0.193942438,3.878848757,0.004707867,0.094157332,0.003757915,0.075158297,0.715479701,14.30959401
93,145.2722951,290.5445902,0.003839499,0.076789974,0.004888737,0.097774742,0.189752748,3.795054959,0.004620504,0.092410072,0.003701098,0.074021957,0.705845647,14.11691294
94,145.448893,290.897786,0.003759581,0.075191629,0.004783192,0.095663846,0.185656366,3.71312732,0.004534801,0.090696023,0.003645089,0.072901785,0.69631805,13.92636099
95,145.6221388,291.2442775,0.003681323,0.073626469,0.004679995,0.093599909,0.181651102,3.633022045,0.004450726,0.089014521,0.003589879,0.071797571,0.686896404,13.73792808
96,145.7920963,291.5841925,0.00360469,0.072093809,0.004579092,0.091581831,0.177734823,3.554696457,0.004368246,0.087364914,0.003535455,0.070709109,0.677580184,13.55160369
97,145.958828,291.917656,0.003529649,0.070592979,0.004480427,0.089608541,0.173905448,3.478108964,0.004287328,0.085746568,0.00348181,0.069636195,0.668368843,13.36737686
98,146.1223953,292.2447907,0.003456166,0.069123323,0.00438395,0.087678993,0.170160951,3.403219025,0.004207943,0.084158861,0.003428931,0.068578628,0.659261813,13.18523626
99,146.2828585,292.565717,0.00338421,0.067684199,0.004289608,0.08579217,0.166499356,3.329987122,0.004130059,0.082601185,0.00337681,0.067536208,0.650258508,13.00517017
